Address,Result,longitude,latitude,link for check
福島県会津若松市相生町,OK,37.5011788,139.9357653,https://www.google.com/search?q=37.5011788+139.9357653
福島県会津若松市旭町,OK,37.5004138,139.9387411,https://www.google.com/search?q=37.5004138+139.9387411
福島県会津若松市飯盛1丁目,OK,37.5023063,139.9524287,https://www.google.com/search?q=37.50230630000001+139.9524287
福島県会津若松市飯盛2丁目,OK,37.5010382,139.9486106,https://www.google.com/search?q=37.5010382+139.9486106
福島県会津若松市飯盛3丁目,OK,37.5027414,139.9500282,https://www.google.com/search?q=37.5027414+139.9500282
福島県会津若松市一質町大字八角,OK,37.5030205,139.9451601,https://www.google.com/search?q=37.5030205+139.9451601
福島県会津若松市一質町大字八幡字滝沢,OK,37.504342,139.9428595,https://www.google.com/search?q=37.504342+139.9428595
福島県会津若松市一箕町大字八幡字牛ヶ墓,OK,37.5051057,139.9502957,https://www.google.com/search?q=37.5051057+139.9502957
福島県会津若松市上町,OK,37.4982934,139.9342149,https://www.google.com/search?q=37.4982934+139.9342149
福島県会津若松市駅前町,OK,37.5056987,139.9295378,https://www.google.com/search?q=37.5056987+139.9295378
福島県会津若松市追手町,OK,37.4890133,139.9301067,https://www.google.com/search?q=37.4890133+139.9301067
福島県会津若松市扇町,OK,37.5137666,139.9341228,https://www.google.com/search?q=37.5137666+139.9341228
福島県会津若松市大町1丁目,OK,37.4992667,139.9275881,https://www.google.com/search?q=37.4992667+139.9275881
福島県会津若松市大町2丁目,OK,37.5033344,139.9292713,https://www.google.com/search?q=37.5033344+139.9292713
福島県会津若松市表町,OK,37.4819246,139.9293077,https://www.google.com/search?q=37.4819246+139.9293077
福島県会津若松市川原町,OK,37.4868227,139.9163904,https://www.google.com/search?q=37.4868227+139.9163904
福島県会津若松市北青木,OK,37.4796661,139.9376232,https://www.google.com/search?q=37.4796661+139.9376232
福島県会津若松市行仁町,OK,37.4975285,139.9371905,https://www.google.com/search?q=37.4975285+139.9371905
福島県会津若松市慶山1丁目,OK,37.4939469,139.9478083,https://www.google.com/search?q=37.4939469+139.9478083
福島県会津若松市慶山2丁目,OK,37.4919651,139.951258,https://www.google.com/search?q=37.4919651+139.951258
福島県会津若松市建福寺前,OK,37.4825497,139.9391731,https://www.google.com/search?q=37.48254970000001+139.9391731
福島県会津若松市蚕養町,OK,37.5046207,139.9379911,https://www.google.com/search?q=37.5046207+139.9379911
福島県会津若松市栄町,OK,37.4961035,139.930906,https://www.google.com/search?q=37.4961035+139.930906
福島県会津若松市城西町,OK,37.4844597,139.9161248,https://www.google.com/search?q=37.4844597+139.9161248
福島県会津若松市城東町,OK,37.4874841,139.9360569,https://www.google.com/search?q=37.4874841+139.9360569
福島県会津若松市城南町,OK,37.4855035,139.9290989,https://www.google.com/search?q=37.4855035+139.9290989
福島県会津若松市城北町,OK,37.5035776,139.9250114,https://www.google.com/search?q=37.5035776+139.9250114
福島県会津若松市昭和町,OK,37.5039429,139.9342397,https://www.google.com/search?q=37.5039429+139.9342397
福島県会津若松市城前,OK,37.490438,139.9363902,https://www.google.com/search?q=37.490438+139.9363902
福島県会津若松市新横町,OK,37.4922092,139.9157713,https://www.google.com/search?q=37.4922092+139.9157713
福島県会津若松市干石町,OK,37.4899827,139.9277486,https://www.google.com/search?q=37.4899827+139.9277486
福島県会津若松市た宝町,OK,37.4877965,139.9409901,https://www.google.com/search?q=37.4877965+139.9409901
福島県会津若松市滝沢町,OK,37.504342,139.9428595,https://www.google.com/search?q=37.504342+139.9428595
福島県会津若松市館馬町,OK,37.4804998,139.9230256,https://www.google.com/search?q=37.4804998+139.9230256
福島県会津若松市館脇町,OK,37.4824798,139.9195754,https://www.google.com/search?q=37.4824798+139.9195754
福島県会津若松市中央1丁目,OK,37.4988323,139.9299888,https://www.google.com/search?q=37.4988323+139.9299888
福島県会津若松市中央2丁目,OK,37.5023088,139.9316056,https://www.google.com/search?q=37.5023088+139.9316056
福島県会津若松市中央3丁目,OK,37.5060812,139.933256,https://www.google.com/search?q=37.5060812+139.933256
福島県会津若松市対馬館町,OK,37.4809157,139.9157265,https://www.google.com/search?q=37.4809157+139.9157265
福島県会津若松市天神町,OK,37.4816467,139.9341738,https://www.google.com/search?q=37.4816467+139.9341738
福島県会津若松市天寧寺町,OK,37.4880388,139.94714,https://www.google.com/search?q=37.4880388+139.94714
福島県会津若松市徒之町,OK,37.4925059,139.9366236,https://www.google.com/search?q=37.4925059+139.9366236
福島県会津若松市中町,OK,37.4963814,139.9260383,https://www.google.com/search?q=37.4963814+139.9260383
福島県会津若松市七日町,OK,37.5007265,139.922853,https://www.google.com/search?q=37.5007265+139.922853
福島県会津若松市錦町,OK,37.4828624,139.9232916,https://www.google.com/search?q=37.48286239999999+139.9232916
福島県会津若松市西柴町,OK,37.4899827,139.9277486,https://www.google.com/search?q=37.4899827+139.9277486
福島県会津若松市曰新町,OK,37.4967284,139.9199535,https://www.google.com/search?q=37.49672839999999+139.9199535
福島県会津若松市西年貢1丁目,OK,37.4781374,139.9227597,https://www.google.com/search?q=37.4781374+139.9227597
福島県会津若松市西年貢2丁目,OK,37.4757404,139.923102,https://www.google.com/search?q=37.4757404+139.923102
福島県会津若松市八角町,OK,37.5030205,139.9451601,https://www.google.com/search?q=37.5030205+139.9451601
福島県会津若松市花見ケ丘1丁目,OK,37.4853987,139.9413315,https://www.google.com/search?q=37.4853987+139.9413315
福島県会津若松市花見ケ丘2丁目,OK,37.4855199,139.9444062,https://www.google.com/search?q=37.4855199+139.9444062
福島県会津若松市花見ケ丘3丁目,OK,37.483557,139.9423478,https://www.google.com/search?q=37.483557+139.9423478
福島県会津若松市花春町,OK,37.4906807,139.9425405,https://www.google.com/search?q=37.4906807+139.9425405
福島県会津若松市花畑東,OK,37.4990577,139.94165,https://www.google.com/search?q=37.4990577+139.94165
